Site,Accalathura crenulata,Alcirona krebsi,Amakusanthura magnifica ,Amakusanthura signata,Amakusanthura sp A,Ampelisca abdita,Ampelisca agassizi,Ampelisca bicarinata,Ampelisca schellenbergi,Ampelisca sp A,Ampithoe ramondi,Ampithoe sp A,Anamaera hixoni,Anamixis cavatura ,Anopsilana jonesi,Anthomuda affinis ,Anthuridea ,Apanthura cracenta ,Apanthuroides millan,Apohyale sp A,Apseudes bermudeus ,Apseudes orghidani,Apseudes sp A,Apseudidae A,Apseudomorpha sp A,Batea cuspidata ,Bemlos sp A,Bemlos spinicarpus ,Bemlos unicornis,Biancolina sp A,Calyptolana hancocki ,Campylaspis heardi ,Campylaspis sp A,Caribboecetes sp A,Carpias algicola ,Carpias triton ,Ceradocus sheardi ,Ceradocus shoemakeri,Chevalia aviculae,Chevalia sp A,Cirolana albioida,Cirolana crenulitelson,Cirolana parva ,Cleantioides planicauda,Colanthura sp A,Colanthura tenuis,Colomastix janiceae,Concarnes concavus,Cortezura  confixa,Cubanocuma gutzi ,Cumella antipai,Cumella clavicauda ,Cumella garrityi,Cumella gomoiui ,Cumella longicaudata ,Cumella meredithi,Cumella murariui,Cumella ocellata,Cumella ruetzleri ,Cumella serrata ,Cumella sp A,Cumella sp G,Cumella vicina ,Curidia debrogania,Cyathura sp A,Cyclaspis goesi,Cyclaspis granulata,Cyclaspis sp A,Cyclaspis varians,Cymadusa sp A,Cymodoce ruetzleri,Cyprodeidae A,Deutella incerta ,Dexaminella sp A,Dexaminidae A,Discapseudes belizensis,Dumosus sp A,Dycerceis kensleyi,Eisothistos petrensis ,Elassocumella sp A,Elasmopus balkomanus,Elasmopus levis,Elasmopus rapax ,Eobrolgus spinosus,Erichsonella filiformis,Erichthonius brasiliensis ,Eudorella sp A,Eurydice convexa,Excorallana antillensis,Excorallana berbicensis,Excorallana sp A,Excorallana warmingii ,Exosphaeroma diminuta,Exosphaeroma sp A,Exosphaeroma tricornis ,Exosphaeroma yucatanum,Gammaropsis atlantica,Gammarus mucronatus,Geocerceis barbarae ,Gibberosus myersi,Globosolembos smithi ,Gnathia  puertoricensis ,Gnathia beethoveni ,Gnathia magdalensis ,Gnathia sp A,Gnathia vellosa ,Gnathia virginalis,Gnathostenetroides pugio,Gnathostenetroides sp A,Hansenium bowmani,Hansenium spathulicarpus,Hansenium stebbingi,Hargeria rapax ,Hemiproto wigleyi ,Heptanthura scopulosa,Hippomedon sp A,Hoplomachus propinquus ,Hourstonius tortugae ,Hyalidae A,Ingolfiella sp A,Iphimediidae A,Joeropsis bifasciatus,Joeropsis personatus,Joeropsis rathbunae,Joeropsis sp A,Joeropsis tobagoensis,Kalliapseudes bahamensis  ,Lembos unifasciatus,Leptochelia dubia ,Leptochelia longimana,Leucon sp A,Leucon sp B,Leucothoe laurensis,Leucothoe sp A,Leucothoe spinicarpa ,Liljeborgia bousfieldi,Liljeborgia sp A,Limnoria platicauda,Listriella sp A,Lyocoryphe minocule,Lyssianopsis alba,Maera jerrica ,Maera miranda ,Maera sp A,Maeropsis sp A,Mancocuma sp A,Melita sheardi,Melita sp A,Mesanthura bivittata ,Mesanthura hopkinsi,Mesanthura paucidens ,Mesanthura pulchra ,Mesanthura sp A,Metacirolana agaricicola ,Metacirolana halia ,Metacirolana menziesi ,Metarphinia floridana,Metatyron triocellatus,Mysidae A,Neocirolana obtruncata,Netamelita barnardi  ,Nototanaidae  A ,Nototanaidae C,Oedicerotidae A,Pagurotanais bouryi,Paracerceis caudata ,Paracerceis sp A,Paramunnidae A,Paranthura floridensis,Paranthura infundibulata,Paraphinotus seclusus ,Parapseudes sp A,Paratanais sp A,Pendanthura hendleri ,Pendanthura sp A,Pendanthura tanaiformis,Periculodes cerasinus,Photis sp A,Pleurocope floridensis,Psammogammarus sp A,Psammokalliapseudes granulosus,Pseudoampithoides incurvaria ,Pseudoapseudomorpha sp A,Pseudoleptochelia sp A,Quadrimaera sp A,Schizotrema aglutinanta ,Seba tropica,Sinelobus stanfordi ,Spathiopus looensis,Spilocuma sp A,Stenetrium serratum,Stenobermuda sp A,Synapseudes sp A,Synopia ultramarina,Tabatzius muelleri ,Uromunna reynoldsi ,Vaunthompsonia floridana,Vaunthompsonia minor,Vaunthompsonia sp A,Zeuxo kurilensis 
BzS,0,0,13,2,0,0,0,1,0,3,0,4,0,0,0,0,1,17,0,0,20,1,320,2,51,2,0,0,0,0,0,0,0,0,0,0,1,0,85,0,0,0,7,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,3,5,0,0,0,0,5,23,10,0,0,0,0,3,0,1,0,0,1,0,0,0,0,1,0,3,19,0,3,0,7,30,8,1,0,0,1,5,0,0,0,1,0,0,2,0,4,0,0,0,0,0,0,220,3,1,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,23,0,3,1,0,0,2,2,36,0,0,3,0,0,0,0,0,14,231,22,1,0,1,0,0,0,0,1,1,191,11,0,0,71,0,0,0,0,1,0,0,0,1,2,0,3
BzM,1,0,7,2,0,0,0,0,0,7,8,2,0,0,0,0,0,7,0,0,3,0,50,0,7,0,1,0,0,0,0,1,1,0,4,1,3,0,31,0,0,0,200,1,1,0,4,1,1,1,0,4,0,0,3,0,0,0,2,0,0,2,2,0,0,1,0,0,0,3,11,0,0,0,0,0,0,1,0,0,0,2,19,1,0,0,0,1,4,1,0,0,0,0,0,0,27,0,1,3,0,9,1,1,0,4,2,1,0,6,3,3,6,1,0,1,0,0,0,0,0,0,3,0,4,0,1,0,66,0,0,0,1,0,12,0,0,1,0,4,3,0,0,0,0,1,0,9,1,1,0,1,2,0,3,0,2,2,0,3,0,1,0,1,0,3,0,0,0,0,2,1,56,22,0,3,0,2,0,0,2,9,3,60,0,1,0,28,0,0,6,0,0,2,0,0,1,0,0,14
BzD,3,0,2,1,0,0,0,0,0,6,2,1,0,2,0,0,0,21,0,0,8,0,10,0,2,2,1,0,0,0,0,1,1,0,1,0,12,4,35,1,0,0,12,0,0,0,2,0,0,2,0,1,0,1,1,0,0,5,1,7,0,0,6,0,0,6,1,3,1,0,3,0,0,5,0,1,0,0,1,0,0,1,15,1,0,0,3,0,2,0,0,0,0,1,0,0,1,0,12,1,14,13,2,7,0,5,3,3,3,0,1,2,0,6,0,0,0,6,0,2,4,0,0,0,0,0,7,0,39,0,0,1,0,0,10,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,1,0,0,1,1,0,1,0,2,2,0,0,0,1,0,1,0,0,0,0,35,1,0,0,0,0,0,1,4,3,0,34,0,0,3,15,0,0,3,0,8,1,3,1,2,1,1,0
BoS,1,0,11,12,4,1,0,1,1,2,3,0,0,3,0,0,0,21,0,1,1,0,10,0,6,1,0,0,0,1,0,0,0,0,3,0,12,0,12,0,0,0,21,0,1,0,1,0,0,1,2,2,0,0,0,0,0,0,2,0,1,1,5,0,1,1,0,2,0,1,14,1,0,0,1,1,0,0,0,1,0,0,14,0,0,1,0,1,131,0,0,0,0,3,6,0,1,2,12,0,7,7,0,10,0,14,1,6,0,1,0,10,1,0,0,0,0,0,0,2,0,3,1,4,6,0,1,0,132,1,0,0,0,0,9,0,0,1,0,0,0,0,0,0,1,1,0,0,1,4,1,2,0,0,2,1,0,0,0,0,0,6,13,0,10,17,0,0,1,0,0,0,305,0,0,0,0,1,0,1,1,5,7,464,0,1,0,17,0,0,0,1,7,0,2,1,0,0,0,2
BoM,16,1,2,13,10,0,0,0,0,1,5,3,0,0,1,1,2,19,0,0,1,1,63,0,49,1,0,0,1,0,16,0,1,1,5,0,9,0,133,0,1,1,81,0,1,3,0,1,0,3,0,0,1,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,24,0,0,2,0,0,0,0,12,0,45,0,18,24,0,15,0,22,1,3,0,0,0,5,0,0,0,0,0,1,0,1,0,0,0,2,3,5,0,1,90,0,0,0,0,1,10,3,1,0,0,2,8,0,0,0,0,0,0,0,0,1,2,2,4,18,14,0,0,0,0,0,0,12,9,0,74,6,0,0,1,0,0,0,702,0,0,1,0,0,0,0,0,0,0,203,0,2,0,2,4,0,2,0,25,0,7,0,0,0,0,8
BoD,1,0,5,0,0,1,1,0,0,15,4,0,0,0,0,0,0,8,0,0,0,0,7,0,7,0,0,0,0,0,3,0,0,0,1,0,4,0,25,1,0,0,3,0,0,0,1,0,0,0,0,0,0,2,1,1,4,6,1,0,0,2,2,0,0,0,0,0,0,1,3,0,0,0,0,1,0,0,1,0,0,0,10,11,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,4,0,0,0,5,0,1,1,5,0,1,0,0,1,0,0,1,0,0,0,0,0,0,5,0,47,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,4,0,0,0,0,0,2,0,1,3,0,0,0,0,0,0,16,0,1,0,1,0,1,0,1,3,0,26,0,0,0,18,0,0,0,0,0,0,1,0,0,1,0,7
JaS,3,0,16,12,0,0,0,0,0,2,4,1,1,2,0,0,0,37,1,0,7,9,17,0,44,3,1,1,0,0,3,1,0,2,16,0,13,0,19,0,0,0,18,0,0,0,2,0,0,0,2,0,0,0,1,0,0,1,1,1,0,1,2,1,0,1,0,0,0,2,1,1,0,0,0,0,6,0,0,0,0,13,54,1,1,2,0,0,1,0,0,0,2,4,0,0,23,0,27,0,7,5,0,5,0,4,0,6,0,3,2,41,3,0,0,0,3,2,0,1,2,1,0,1,0,1,0,0,110,0,0,0,2,0,37,0,2,1,0,12,0,5,5,0,0,2,0,1,0,0,2,4,5,5,0,0,2,0,0,0,5,3,2,0,133,1,0,0,6,1,2,1,21,17,0,0,0,0,0,5,0,14,0,121,0,2,0,13,3,0,1,0,91,0,0,1,0,0,0,5
JaM,1,0,9,2,0,0,0,0,0,1,3,2,0,1,0,0,0,14,0,0,18,0,6,0,13,0,0,0,0,0,2,0,0,0,2,0,7,0,112,0,0,0,21,0,0,0,4,1,0,0,0,3,2,1,1,0,0,3,0,6,0,0,1,0,0,4,0,0,0,2,1,0,0,0,0,0,1,0,0,0,2,1,31,0,0,1,0,0,9,0,0,0,0,0,0,0,2,0,6,1,5,6,0,5,0,2,0,5,0,1,0,3,1,0,1,0,0,1,1,0,0,1,0,0,1,0,2,0,77,0,0,0,0,0,17,0,0,0,0,1,2,1,0,1,0,0,1,0,0,1,2,8,0,1,0,0,0,0,2,0,0,0,0,0,3,1,0,0,0,5,0,0,57,0,0,0,0,0,0,0,0,7,23,31,0,1,0,6,0,0,0,0,0,1,0,1,0,0,0,9
JaD,0,1,8,2,0,1,0,0,0,1,1,1,0,0,0,0,0,8,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,9,0,0,0,12,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,2,2,0,0,1,0,1,0,1,4,0,0,0,0,4,0,0,0,0,0,2,19,0,0,3,0,3,1,0,3,0,0,0,0,3,1,0,3,2,8,10,0,3,1,6,0,0,0,1,2,10,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,53,0,1,0,0,0,6,0,0,0,0,1,8,0,0,0,0,0,0,0,2,1,0,5,4,0,0,0,3,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,10,0,0,0,1,0,0,0,0,5,0,34,1,0,0,2,0,1,1,0,0,0,0,0,0,0,0,3
